,titles,replies,views,category
208,Webtoon Monthly PVs drop?,3,1.5k,Answered
209,Finished or working on?,341,486,Answered
210,Commissions by Alala!,4,746,Answered
211,How to get promoted on the homepage[Webtoons]?,381,3.6k,Answered
212,How do you get the lower right image in the series page?,5,605,Answered
213,How do you set up tipping?,628,3.9k,Answered
214,Photoshop JPG settings for Webtoon,1,640,Answered
215,How can i save pages from my comic,320,604,Answered
216,Feedback on blunderland please,9,521,Answered
217,How can I see who subscribe to me in webtoon?,1.5k,523,Answered
218,Trouble picking which story of mine to make first,4,974,Answered
219,Quick question about tapastic hosting,389,550,Answered
220,Fancomic on Webtoon?,4,4.4k,Answered
221,Can i hide my email?,302,591,Answered
222,What’s the BGM for?,17,741,Answered
223,GIFs in premium comics (resolved) tapas.io,638,710,Answered
224,It is allowed to tip to oneself?,8,1.3k,Answered
225,Need help. how to italized your text in novel section on mobile phone,358,608,Answered
226,정식 작가 연재와 번역 지원,5,693,Answered
227,Scheduling option on webtoons?,357,2.5k,Answered
228,How to put co-authorship on tapas,7,521,Answered
229,I need help with tone and stuff,493,608,Answered
230,Tapas and line webtoons,6,807,Answered
231,Webtoons email response time?,469,2.3k,Answered
232,Help I can’t find a comic!,17,2.3k,Answered
233,"A very stupid Censorship question (answered, thank you)",1.1k,1.7k,Answered
234,An open question for any furry out there [CLOSED],1,1.2k,Answered
235,Missing the subscribe button?,330,893,Answered
236,Looking for a lost comic,3,597,Answered
237,How much and where do I advertise my novel?,266,1.3k,Answered
238,How to Convert tipping into money?,10,651,Answered
239,Weird lock icon on my own story?,778,643,Answered
240,"Question about ad revenue, tipping programs?",9,761,Answered
241,Is there an option for marking completed stories?,468,671,Answered
242,Sharing movie on tapas wall,12,561,Answered
243,Can I open a topic in another languaje?,538,584,Answered
244,Instagram and Bit.ly Links,6,5.1k,Answered
245,"Any way to reorganise my episodes, in order to decide which comes first and after?",536,1.1k,Answered
246,What’s the rule on sharing crowdfunding here?,4,554,Answered
247,I can’t find the Coin Shop on the Computer site,1.3k,629,Answered
248,What does marking a series complete do?,9,726,Answered
249,Take a look at the Cover (of my manga) Chapter One!,2.1k,954,Answered
250,Should I continue? or keep doing it for the few readers,32,839,Answered
251,Add a second author - comic,1.1k,711,Answered
252,I want an Avatar?,4,468,Answered
253,Revenue dissapeared! Revenue bug?,593,2.2k,Answered
254,Can’t Upload My Book,12,536,Answered
255,2 people on a comic?,504,597,Answered
256,E-mail activation letter?,2,4.3k,Answered
257,Is scheduled future chapter visible to the public that you have a buffer?,320,650,Answered
258,Can I publish my series in private or public and set schedule when each episode is released?,8,675,Answered
259,No ads available for days (NVM seem to be back now),564,921,Answered
260,[Help] Screentones in Clip Studio Paint,2,1.8k,Answered
261,How does one lock an episode?,284,1.2k,Answered
262,Transfer Coins to another Person,6,1.4k,Answered
263,Can’t find my comic via Search function,1.3k,757,Answered
264,¿how do you enable ads in your comic?,8,437,Answered
265,Tapas opens as mobile version of the site from my computer,538,493,Answered
266,Tipping on select series?,14,493,Answered
267,Other Sites For Art? [ Answered: THANK YOU! ],1.6k,2.2k,Answered
268,I lost a comic I really wanted to read PLEASE HELP,1,528,Answered
269,Ad revenue won’t show up,424,745,Answered
270,Can I name a cat “God”?,9,3.1k,Answered
271,Whatever happened to multi-language option?,888,688,Answered
272,Where do I find those tutorial comics?,8,557,Answered
273,Can I post concept art?,814,688,Answered
274,Does Tapas own your comic?,4,878,Answered
275,Are we only aloud to talk about Taps related topics?,316,529,Answered
276,Still can’t delete my own series,3,669,Answered
277,Is it possible for a language to remain almost unchanged for hundreds for years?,814,1.0k,Answered
278,2 stories to choose from,3,784,Answered
279,How far can you schedule ahead?,485,1.1k,Answered
280,Tech Support for uploading images for forum profile,14,680,Answered
281,Having trouble linking pictures on twitter,749,551,Answered
282,How long does it take for tapas to answer after a book submit?,3,701,Answered
283,Hi I’m New! I got a few problems regarding the forums though,378,610,Answered
284,Organizing comic order,6,494,Answered
285,Gif as profile picture?,590,615,Answered
286,Why cant I change any of my pictures on my forum account?,1,451,Answered
287,No Title Text Box Can’t Update,335,771,Answered
288,How do I keep my Tips separate between different series?,8,604,Answered
289,How to access the forums using the newly updated tapastic website,479,1.0k,Answered
290,Can’t change my profile icon/background?,5,520,Answered
291,Concerns about Terms of Service,440,3.0k,Answered
292,Any tips to draw faster?,3,2.6k,Answered
293,Is it wrong to monetize a comic with others’ characters?,486,1.1k,Answered
294,Questions about asking for feedback and replying to comments,4,810,Answered
295,Fan Comics on Tapastic?,436,816,Answered
296,Having Coin Troubles,14,495,Answered
297,Thoughts on sidenotes/telling instead of showing?,1.1k,973,Answered
298,File size frustrations,10,1.7k,Answered
299,Just some questions about starting a comic from a newbie!,505,1.6k,Answered
300,What should I do? Single or multiple pages per episode?,4,1.1k,Answered
301,Can’t upload images ing forum topics. Please help,495,1.2k,Answered
302,What’s the name of this comic - Bear headed man and a barcode tattoo?,5,749,Answered
303,How to create poll?,522,694,Answered
304,How Young is Too Young? (Closed),4,1.5k,Answered
305,Does turning the Ads on make your comic view lessening?,404,844,Answered
306,How do you start drawing? [problem fixed],2,1.5k,Answered
307,Can someone Help me with tipping,1.7k,921,Answered
308,How much does Tapastic pay?,7,17.0k,Answered
309,Problem with Clip Studio Paint,481,828,Answered
310,Why did tapastic closed my post?,4,825,Answered
311,Publishing on Tapas? and Spotlight,368,1.6k,Answered
312,Profile Pictures Have Finally Been Fixed Making This Topic Obsolete,29,424,Answered
313,Should i delete my first episodes(close),1.3k,599,Answered
314,Forums on the Tapas App,6,484,Answered
315,Notifications for App,21.1k,593,Answered
316,Delete Please (Not needed),1,1.8k,Answered
317,Decreasing file sizes of gifs,328,1.2k,Answered
318,Can’t change my username in the forum section,4,572,Answered
319,What do keys do in the Tapas app?,716,888,Answered
320,Are Tags really necessary?,8,801,Answered
321,"Okay it’s late at night so this is probably obvious, but how do you edit / remove / replace a page?",538,454,Answered
322,Tippers list on desktop?,6,632,Answered
323,I’m not getting a verification email,489,867,Answered
324,“Just in time for Halloween season”,7,1.7k,Answered
325,Help with Tipping?,515,536,Answered
326,Are there differentiating kinds of tapas coins?,4,635,Answered
327,App-only comics,408,629,Answered
328,Find People Tipping Question,7,1.1k,Answered
329,Verification email is missing?,501,726,Answered
330,User creating comics to promot stollen movies,4,613,Answered
331,How do I change my name?,378,654,Answered
332,Wordpress botnet brute force login attack?,3,1.1k,Answered
333,Unlegal use of Tapastic,326,637,Answered
334,Setting a profile picture on the forums?,4,719,Answered
335,How do coins work in the Tapas app? Can donated coins be turned into money for creators?,480,973,Answered
336,Which version of this story should I go with?,18,697,Answered
337,Unlocking episodes on desktops?,793,581,Answered
338,Comic Font Help?,3,960,Answered
339,Issues uploading pics,1.8k,4.1k,Answered
340,Activation E-Mail Missing,12,1.5k,Answered
341,Tapastic won’t let me update my comic,1.3k,417,Answered
342,Sorry there was an error uploading this image,12,1.3k,Answered
343,Where can I find the “Books” on Tapastic website?,12.7k,1.0k,Answered
344,Can you upload gifs?,4,825,Answered
345,Is there a way to rearrange releases?,1.8k,546,Answered
346,What size paper do you use?,22,884,Answered
347,Looking for a comic,1.5k,758,Answered
348,Curse Words in Comics?,4,4.9k,Answered
349,Unable to edit forum post,515,541,Answered
350,A question about Novel publishing,7,999,Answered
351,My comic disappeared from my profile [solved],482,646,Answered
352,Taptastic Banner Problems - Need Some Help,4,2.1k,Answered
353,How do I know if I have a Subscriber?,406,793,Answered
354,WTF does the EL tag stand for?,2,1.7k,Answered
355,A Commission Section for the Forums,388,579,Answered
356,Trouble uploading avatar,10,743,Answered
357,Getting started (need some help),2.4k,1.4k,Answered
358,Does anyone know how to apply for the key system?,4,715,Answered
359,110$ per 9505 ad impressions?,380,3.1k,Answered
360,"Question - Sub for subs, opinions",15,1.2k,Answered
361,I am trending! Yay! But how?,1.2k,1.7k,Answered
362,Any one have advice for emotional scenes in comics?,106,1.4k,Answered
363,Why some comics have BL letters?,8.9k,2.3k,Answered
364,Merging episodes,4,989,Answered
365,Unable to figure out my Tapastic Account Password,896,1.2k,Answered
366,Issue: Can’t login with Google+ on the website,0,858,Answered
367,How Should I Proceed?,331,740,Answered
368,Got a PM from Written Sins. Some kind of comic network. Seems sketchy,28,681,Answered
369,Webtoon question.. I am so confused! ^^;,14.9k,8.3k,Answered
370,Bug Alert: Earned Coins Expiring [Bug Resolved],12,640,Answered
371,Wesite woes! Removing the series icon from embedded tapastic comics?,1.6k,613,Answered
372,Why can’t I find some users in the search listing? O_O,3,585,Answered
373,Is your drawing software supposed to do this?,703,2.3k,Answered
374,Can I change the URL of my comic?,10,617,Answered
375,How to do ‘thank you for subscribing’ notes?,11.2k,2.5k,Answered
376,My AD Revenue counter is always on 0 and I don’t know why,21,867,Answered
377,API For Uploading Comics?,2.0k,590,Answered
378,Is it possible to edit a comic page that i’d posted before?,1,570,Answered
379,Linking your comic,487,929,Answered
380,Web-comic chat?,20,568,Answered
381,Thanks for subbing image won’t show up,1.7k,800,Answered
382,How do staff picks work?,1,1.5k,Answered
383,Can I add a Series Cover Banner after my comic has been created?,470,664,Answered
384,Fake subscribers?,1,1.4k,Answered
385,Manga screentone dots look too big? Clip Studio Paint,555,2.1k,Answered
386,Can i reorder episodes after they’ve been published?,4,902,Answered
387,When is the best time of day to upload?,980,883,Answered
388,Subscriptions for Subscriptions,6,2.6k,Answered
389,Publishing written works instead of just comics,2.6k,540,Answered
390,Tapas App-finding it,6,854,Answered
391,How to Fix Souncloud on Chrome,533,1.2k,Answered
392,Does This Need NSFW?,1,750,Answered
393,How do i report/ ban trolls?,508,847,Answered
394,Please Close This Thread Now,8,765,Answered
395,Christmas picture/winterfest 2015,995,671,Answered
396,Literature Series on Tapastic?,8,1.2k,Answered
397,The new Books feature,1.2k,1.1k,Answered
398,Stupid question How do you publish a Book instead of a Comic,3,1.1k,Answered
399,Inserting Pages,2.6k,996,Answered
400,Can I download my strips?,3,688,Answered
401,Clip Studio…uhh spell check?,430,1.7k,Answered
402,Copyright infringement?,2,1.1k,Answered
403,Can someone pls help me out?,441,595,Answered
404,Why do I only see a sliver of my comments on my profile page?,4,665,Answered
405,Reporting Harassment,2.7k,607,Answered
406,Moving pages around?,3,656,Answered
407,[FIXED] Help with tablet pen freezing,1.1k,13.3k,Answered
408,Where’s Tapastic’s Support Program?,2,1.2k,Answered
409,Questions about posting for the first time,387,729,Answered
410,ToS: Please define “Excessive Length?”,2,1.1k,Answered
411,Are novels open for the general public?,654,602,Answered
412,How to add external link on episode page?,4,688,Answered
413,Ad revenue not transfered,479,1.0k,Answered
414,No Search Field On The Mobile Platform… Really?,8,887,Answered
415,Is there a chance to decrase the money transfer limit?,1.2k,1.3k,Answered
416,How do I merge pages into one chapter?,5,1.2k,Answered
417,Scheduling for comics still bugged? “Episode 0”,1.5k,665,Answered
418,Landscape pages/double-page spreads on Tapastic,4,1.1k,Answered
419,The “Add Translation” Feature,486,3.8k,Answered
420,"안녕하세요, 여쭤 볼 께 있는데요",2,1.4k,Answered
